facility_name,city,state,industry_sector,year,predicted_emissions
121 Regional Disposal Facility,Melissa,TX,Waste,2018,219935.8389799998
121 Regional Disposal Facility,Melissa,TX,Waste,2019,220535.08454000007
121 Regional Disposal Facility,Melissa,TX,Waste,2020,217230.81795400006
15-18565/15-18662,Hazard,KY,Other,2018,181433.29035299993
15-18565/15-18662,Hazard,KY,Other,2019,130452.97565999995
15-18565/15-18662,Hazard,KY,Other,2020,121441.78835699994
15-19015,Hazard,KY,Other,2018,59978.26685759997
15-19015,Hazard,KY,Other,2019,54011.205594800005
15-19015,Hazard,KY,Other,2020,58399.594531999996
17Z Gas Plant - Chevron Usa Inc.,Mckittrick,CA,"Natural Gas And Natural Gas Liquids Suppliers,Petroleum And Natural Gas Systems",2018,24879.658299829982
17Z Gas Plant - Chevron Usa Inc.,Mckittrick,CA,"Natural Gas And Natural Gas Liquids Suppliers,Petroleum And Natural Gas Systems",2019,16721.406560000003
17Z Gas Plant - Chevron Usa Inc.,Mckittrick,CA,"Natural Gas And Natural Gas Liquids Suppliers,Petroleum And Natural Gas Systems",2020,18573.027379999992
23Rd And 3Rd,Brooklyn,NY,Power Plants,2018,60070.4712
23Rd And 3Rd,Brooklyn,NY,Power Plants,2019,67640.41935999999
23Rd And 3Rd,Brooklyn,NY,Power Plants,2020,69520.74884000003
29-6 #2 Central Delivery Point,Blanco,NM,Petroleum And Natural Gas Systems,2018,15038.726299999991
29-6 #2 Central Delivery Point,Blanco,NM,Petroleum And Natural Gas Systems,2019,15400.654419999992
29-6 #2 Central Delivery Point,Blanco,NM,Petroleum And Natural Gas Systems,2020,15677.892939999985
30-5 Compressor Station,Aztec,NM,Petroleum And Natural Gas Systems,2018,22770.06958000001
30-5 Compressor Station,Aztec,NM,Petroleum And Natural Gas Systems,2019,22785.578380000024
30-5 Compressor Station,Aztec,NM,Petroleum And Natural Gas Systems,2020,22986.15172000002
31-6 Central Delivery Point,Bloomfield,NM,Petroleum And Natural Gas Systems,2018,54414.08227
31-6 Central Delivery Point,Bloomfield,NM,Petroleum And Natural Gas Systems,2019,53342.32031000001
31-6 Central Delivery Point,Bloomfield,NM,Petroleum And Natural Gas Systems,2020,54050.074222399984
31St Street Landfill,Westchester,IL,Waste,2018,57451.190380000015
31St Street Landfill,Westchester,IL,Waste,2019,52383.00021999998
31St Street Landfill,Westchester,IL,Waste,2020,60774.23746000001
32-7 Central Delivery Point,Blanco,NM,Petroleum And Natural Gas Systems,2018,38804.99904560002
32-7 Central Delivery Point,Blanco,NM,Petroleum And Natural Gas Systems,2019,39261.2386537
32-7 Central Delivery Point,Blanco,NM,Petroleum And Natural Gas Systems,2020,38575.890919999976
32-8 #2 Cdp Compressor Station,Blanco,NM,Petroleum And Natural Gas Systems,2018,41626.71142000001
32-8 #2 Cdp Compressor Station,Blanco,NM,Petroleum And Natural Gas Systems,2019,40453.05568999998
32-8 #2 Cdp Compressor Station,Blanco,NM,Petroleum And Natural Gas Systems,2020,55813.73452
32-8 #2 Central Delivery Point,Blanco,NM,Petroleum And Natural Gas Systems,2018,37163.61117919998
32-8 #2 Central Delivery Point,Blanco,NM,Petroleum And Natural Gas Systems,2019,35566.138159999995
32-8 #2 Central Delivery Point,Blanco,NM,Petroleum And Natural Gas Systems,2020,37451.655269999974
3M Brownwood,Brownwood,TX,Minerals,2018,36709.2592
3M Brownwood,Brownwood,TX,Minerals,2019,66322.70392000003
3M Brownwood,Brownwood,TX,Minerals,2020,47224.48153999999
3M Co,Maplewood,MN,Other,2018,77021.85026000002
3M Co,Maplewood,MN,Other,2019,78976.68714
3M Co,Maplewood,MN,Other,2020,83554.0585018
3M Co - Guin,Guin,AL,Minerals,2018,23232.013125900008
3M Co - Guin,Guin,AL,Minerals,2019,26551.832300000005
3M Co - Guin,Guin,AL,Minerals,2020,26279.13993999999
3M Co - Wausau Downtown,Wausau,WI,Other,2018,41380.276008299996
3M Co - Wausau Downtown,Wausau,WI,Other,2019,40303.61207999998
3M Co - Wausau Downtown,Wausau,WI,Other,2020,39367.0285
3M Company,Decatur,AL,"Chemicals,Industrial Gas Suppliers",2018,48564.14284969999
3M Company,Decatur,AL,"Chemicals,Industrial Gas Suppliers",2019,49317.83307979997
3M Company,Decatur,AL,"Chemicals,Industrial Gas Suppliers",2020,49889.7072336
3M Cordova,Cordova,IL,"Chemicals,Industrial Gas Suppliers",2018,678906.7253320005
3M Cordova,Cordova,IL,"Chemicals,Industrial Gas Suppliers",2019,623475.8791770004
3M Cordova,Cordova,IL,"Chemicals,Industrial Gas Suppliers",2020,580792.680917
3M Cottage Grove Center - Site,Cottage Grove,MN,"Chemicals,Industrial Gas Suppliers,Minerals",2018,31852.97883
3M Cottage Grove Center - Site,Cottage Grove,MN,"Chemicals,Industrial Gas Suppliers,Minerals",2019,32458.48295189999
3M Cottage Grove Center - Site,Cottage Grove,MN,"Chemicals,Industrial Gas Suppliers,Minerals",2020,32138.422179999994
3M Industrial Mineral Products Division,Little Rock,AR,Other,2018,29678.151339999997
3M Industrial Mineral Products Division,Little Rock,AR,Other,2019,29197.51103999999
3M Industrial Mineral Products Division,Little Rock,AR,Other,2020,28908.988019999993
3M Magnetic Tape Manufacturing Division,Hutchinson,MN,Pulp And Paper,2018,39185.396938900005
3M Magnetic Tape Manufacturing Division,Hutchinson,MN,Pulp And Paper,2019,34665.60424000001
3M Magnetic Tape Manufacturing Division,Hutchinson,MN,Pulp And Paper,2020,32469.688273400006
3M Nevada Plant,Nevada,MO,Other,2018,30027.571759999977
3M Nevada Plant,Nevada,MO,Other,2019,29488.326920000007
3M Nevada Plant,Nevada,MO,Other,2020,25220.339579999996
4 West Mine,Dilliner,PA,Other,2018,182002.42756699998
4 West Mine,Dilliner,PA,Other,2019,175235.75392000002
4 West Mine,Dilliner,PA,Other,2020,171364.58633800002
48Th Street Peaking Station,Holland,MI,Power Plants,2018,56114.60150000001
48Th Street Peaking Station,Holland,MI,Power Plants,2019,52714.02414000004
48Th Street Peaking Station,Holland,MI,Power Plants,2020,43151.76814640001
50 Buttes Gas Plant,Gillette,WY,Petroleum And Natural Gas Systems,2018,55315.28838000002
50 Buttes Gas Plant,Gillette,WY,Petroleum And Natural Gas Systems,2019,53541.86404000002
50 Buttes Gas Plant,Gillette,WY,Petroleum And Natural Gas Systems,2020,53842.3401892
58Th St Lf (Main County Lf),Miami,FL,Waste,2018,77427.87924000001
58Th St Lf (Main County Lf),Miami,FL,Waste,2019,80679.51012
58Th St Lf (Main County Lf),Miami,FL,Waste,2020,84219.67048180004
59Th Street,New York,NY,Power Plants,2018,208085.25213600002
59Th Street,New York,NY,Power Plants,2019,199372.24457999997
59Th Street,New York,NY,Power Plants,2020,205336.03385999997
69Th St Wwtp,Houston,TX,Other,2018,21617.416699999994
69Th St Wwtp,Houston,TX,Other,2019,22825.213099999997
69Th St Wwtp,Houston,TX,Other,2020,21560.55323999999
74Th Street,New York,NY,Power Plants,2018,164561.95472000007
74Th Street,New York,NY,Power Plants,2019,155786.61476800006
74Th Street,New York,NY,Power Plants,2020,169206.24449600003
A B Brown Generating Station,Mount Vernon,IN,Power Plants,2018,2036883.4171000014
A B Brown Generating Station,Mount Vernon,IN,Power Plants,2019,2001555.27341
A B Brown Generating Station,Mount Vernon,IN,Power Plants,2020,1931782.6054300002
A B Paterson,New Orleans,LA,Power Plants,2018,4327571.378900003
A B Paterson,New Orleans,LA,Power Plants,2019,6320706.747690001
A B Paterson,New Orleans,LA,Power Plants,2020,4926310.913879999
A&At Llc Waynesboro Facility,Waynesboro,VA,Other,2018,58938.25206
A&At Llc Waynesboro Facility,Waynesboro,VA,Other,2019,50437.67380659998
A&At Llc Waynesboro Facility,Waynesboro,VA,Other,2020,51792.4298078
"A.C.M.S., Inc.",Lake Panasoffkee,FL,Waste,2018,47430.055340000006
"A.C.M.S., Inc.",Lake Panasoffkee,FL,Waste,2019,51973.94984000001
"A.C.M.S., Inc.",Lake Panasoffkee,FL,Waste,2020,49372.86318
Aap St Marys Corp,Saint Marys,OH,Other,2018,30571.516120000022
Aap St Marys Corp,Saint Marys,OH,Other,2019,52281.549580000006
Aap St Marys Corp,Saint Marys,OH,Other,2020,62462.7894347
Abb Inc.,Mt. Pleasant,PA,Other,2018,10238.410120000002
Abb Inc.,Mt. Pleasant,PA,Other,2019,10440.900747900001
Abb Inc.,Mt. Pleasant,PA,Other,2020,10393.905420000001
Abbott Laboratories,Casa Grande,AZ,Other,2018,42443.05409999997
Abbott Laboratories,Casa Grande,AZ,Other,2019,41860.0763683
Abbott Laboratories,Casa Grande,AZ,Other,2020,42991.59408000001
Abbott Nutrition,Sturgis,MI,Other,2018,22549.185199999985
Abbott Nutrition,Sturgis,MI,Other,2019,22692.3736
Abbott Nutrition,Sturgis,MI,Other,2020,22559.015680000004
Abbott Nutrition - A Division Of Abbott Laboratories,Altavista,VA,Other,2018,26222.593100000006
Abbott Nutrition - A Division Of Abbott Laboratories,Altavista,VA,Other,2019,25027.23625999999
Abbott Nutrition - A Division Of Abbott Laboratories,Altavista,VA,Other,2020,25968.495659999997
Abbott Park Facility,Abbott Park,IL,Other,2018,160206.6127399999
Abbott Park Facility,Abbott Park,IL,Other,2019,124097.47968600005
Abbott Park Facility,Abbott Park,IL,Other,2020,125750.48510470001
Abbvie Ltd.,Barceloneta,PR,Chemicals,2018,82094.04722000001
Abbvie Ltd.,Barceloneta,PR,Chemicals,2019,84062.17737999998
Abbvie Ltd.,Barceloneta,PR,Chemicals,2020,82372.11135999998
Abc Coke,Tarrant,AL,Metals,2018,175178.73009999993
Abc Coke,Tarrant,AL,Metals,2019,170084.845618
Abc Coke,Tarrant,AL,Metals,2020,169805.19152800005
"Abe South Dakota, Llc - Aberdeen",Aberdeen,SD,"Other,Waste",2018,65087.5900844
"Abe South Dakota, Llc - Aberdeen",Aberdeen,SD,"Other,Waste",2019,57728.98582829996
"Abe South Dakota, Llc - Aberdeen",Aberdeen,SD,"Other,Waste",2020,52813.33305169998
"Abe South Dakota, Llc - Huron",Huron,SD,"Other,Waste",2018,39989.26037
"Abe South Dakota, Llc - Huron",Huron,SD,"Other,Waste",2019,28083.600138399997
"Abe South Dakota, Llc - Huron",Huron,SD,"Other,Waste",2020,31648.305828000015
Abengoa Bioenergy Biomass Of Kansas,Hugoton,KS,Other,2018,20321.76584000001
Abengoa Bioenergy Biomass Of Kansas,Hugoton,KS,Other,2019,22284.860883999987
Abengoa Bioenergy Biomass Of Kansas,Hugoton,KS,Other,2020,21131.801167899997
Abengoa Bioenergy Corporation Colwich Ethanol Plant,Colwich,KS,Other,2018,6812.297880000001
Abengoa Bioenergy Corporation Colwich Ethanol Plant,Colwich,KS,Other,2019,7068.380960000001
Abengoa Bioenergy Corporation Colwich Ethanol Plant,Colwich,KS,Other,2020,7009.125280000003
Aberdeen Energy Llc,Mina,SD,Other,2018,184367.7827800001
Aberdeen Energy Llc,Mina,SD,Other,2019,185166.11442000003
Aberdeen Energy Llc,Mina,SD,Other,2020,181679.63326
Aberdeen Generating Station,Aberdeen,SD,Power Plants,2018,5982.285580000002
Aberdeen Generating Station,Aberdeen,SD,Power Plants,2019,7755.198539999996
Aberdeen Generating Station,Aberdeen,SD,Power Plants,2020,6259.74817825
Aberdeen Proving Ground-Aberdeen Area & Edgewood Area,Apg,MD,Other,2018,83981.53804000001
Aberdeen Proving Ground-Aberdeen Area & Edgewood Area,Apg,MD,Other,2019,86600.05197999999
Aberdeen Proving Ground-Aberdeen Area & Edgewood Area,Apg,MD,Other,2020,96689.1229901
Abilene Environmental Landfill,Abilene,TX,Waste,2018,28510.314147899997
Abilene Environmental Landfill,Abilene,TX,Waste,2019,25975.30422
Abilene Environmental Landfill,Abilene,TX,Waste,2020,24430.170899999997
Abilene Regional Landfill,Abilene,TX,Waste,2018,109944.65540999999
Abilene Regional Landfill,Abilene,TX,Waste,2019,112856.65861999996
Abilene Regional Landfill,Abilene,TX,Waste,2020,115981.7199
Abraham Compressor Station,Canadian,TX,Petroleum And Natural Gas Systems,2018,20727.272980000005
Abraham Compressor Station,Canadian,TX,Petroleum And Natural Gas Systems,2019,22206.743532799996
Abraham Compressor Station,Canadian,TX,Petroleum And Natural Gas Systems,2020,23582.028320000012
Absolute Energy Llc,St Ansgar (Mona),IA,"Other,Waste",2018,176478.0057999999
Absolute Energy Llc,St Ansgar (Mona),IA,"Other,Waste",2019,177640.60907999988
Absolute Energy Llc,St Ansgar (Mona),IA,"Other,Waste",2020,177379.15852000003
Ac 857 A,Offshore,TX,Petroleum And Natural Gas Systems,2018,216614.91462000005
Ac 857 A,Offshore,TX,Petroleum And Natural Gas Systems,2019,209470.73981999996
Ac 857 A,Offshore,TX,Petroleum And Natural Gas Systems,2020,222933.12767999995
Acadia Parish Police Jury - Acadia Parish Sanitary Landfill,Egan,LA,Waste,2018,50702.62898000001
Acadia Parish Police Jury - Acadia Parish Sanitary Landfill,Egan,LA,Waste,2019,47137.18004000001
Acadia Parish Police Jury - Acadia Parish Sanitary Landfill,Egan,LA,Waste,2020,41030.538199999995
Acadia Power Station,Eunice,LA,Power Plants,2018,2261023.091419999
Acadia Power Station,Eunice,LA,Power Plants,2019,2184972.09
Acadia Power Station,Eunice,LA,Power Plants,2020,2070942.2167400003
Accident Station,Accident,MD,Petroleum And Natural Gas Systems,2018,20345.578850000005
Accident Station,Accident,MD,Petroleum And Natural Gas Systems,2019,21298.91442
Accident Station,Accident,MD,Petroleum And Natural Gas Systems,2020,23083.64444000001
Ace Cogeneration Company,Trona,CA,Power Plants,2018,364990.30234
Ace Cogeneration Company,Trona,CA,Power Plants,2019,347492.80176000023
Ace Cogeneration Company,Trona,CA,Power Plants,2020,347480.74864
Ace Ethanol Llc,Stanley,WI,"Other,Suppliers Of Co2",2018,74623.40791999995
Ace Ethanol Llc,Stanley,WI,"Other,Suppliers Of Co2",2019,73247.7459
Ace Ethanol Llc,Stanley,WI,"Other,Suppliers Of Co2",2020,73408.22181999999
Ackerman Combined Cycle,Ackerman,MS,Power Plants,2018,1388697.8943400008
Ackerman Combined Cycle,Ackerman,MS,Power Plants,2019,1383297.3875
Ackerman Combined Cycle,Ackerman,MS,Power Plants,2020,1384821.2892099998
Acme Brick - Denton Plant,Denton,TX,Minerals,2018,29262.455840000002
Acme Brick - Denton Plant,Denton,TX,Minerals,2019,32353.35876000002
Acme Brick - Denton Plant,Denton,TX,Minerals,2020,33376.60953999998
Acme Brick - Texas Clay Plants,Malakoff,TX,Minerals,2018,50221.98274939999
Acme Brick - Texas Clay Plants,Malakoff,TX,Minerals,2019,45075.41216
Acme Brick - Texas Clay Plants,Malakoff,TX,Minerals,2020,46915.76272000002
Acme Brick Co Elgin Plant,Elgin,TX,Minerals,2018,51719.24719100001
Acme Brick Co Elgin Plant,Elgin,TX,Minerals,2019,46840.88094000002
Acme Brick Co Elgin Plant,Elgin,TX,Minerals,2020,46920.185639999996
Acme Gypsum Facility,Quanah,TX,Minerals,2018,36321.172240000014
Acme Gypsum Facility,Quanah,TX,Minerals,2019,36314.85348
Acme Gypsum Facility,Quanah,TX,Minerals,2020,35201.33726239999
"Ada Carbon Solutions (Red River), Llc",Coushatta,LA,Chemicals,2018,340862.72948000004
"Ada Carbon Solutions (Red River), Llc",Coushatta,LA,Chemicals,2019,409610.4296500002
"Ada Carbon Solutions (Red River), Llc",Coushatta,LA,Chemicals,2020,377253.29599
Ada Cogeneration,Ada,MI,Power Plants,2018,92690.1259028
Ada Cogeneration,Ada,MI,Power Plants,2019,92661.49544139998
Ada Cogeneration,Ada,MI,Power Plants,2020,87188.3560304
Ada County Solid Waste Management,Boise,ID,Waste,2018,79666.85713999993
Ada County Solid Waste Management,Boise,ID,Waste,2019,80948.7717815
Ada County Solid Waste Management,Boise,ID,Waste,2020,59138.080219699994
Addis Carbon Black Plant,Addis,LA,Chemicals,2018,288081.06107000005
Addis Carbon Black Plant,Addis,LA,Chemicals,2019,267488.60757099994
Addis Carbon Black Plant,Addis,LA,Chemicals,2020,273795.40783299995
Adkins Energy Llc,Lena,IL,Other,2018,83267.34435999999
Adkins Energy Llc,Lena,IL,Other,2019,82399.16803999999
Adkins Energy Llc,Lena,IL,Other,2020,83196.94316000001
Adm - Mankato,Mankato,MN,Other,2018,126856.39628100011
Adm - Mankato,Mankato,MN,Other,2019,123956.54221099995
Adm - Mankato,Mankato,MN,Other,2020,130824.21659699995
Adm Corn Processing,Cedar Rapids,IA,"Other,Waste",2018,2304411.3350000023
Adm Corn Processing,Cedar Rapids,IA,"Other,Waste",2019,2307569.5637299996
Adm Corn Processing,Cedar Rapids,IA,"Other,Waste",2020,2536158.5720799984
Adm Deerfield,Deerfield,MO,Other,2018,33369.615220000014
Adm Deerfield,Deerfield,MO,Other,2019,32422.28521999998
Adm Deerfield,Deerfield,MO,Other,2020,32219.041311799996
Adm Fostoria,Fostoria,OH,Other,2018,26134.372520000023
Adm Fostoria,Fostoria,OH,Other,2019,25833.865380000007
Adm Fostoria,Fostoria,OH,Other,2020,25796.28821999999
Adm Milling Company,Des Moines,IA,Other,2018,129013.74921900002
Adm Milling Company,Des Moines,IA,Other,2019,93566.33878
Adm Milling Company,Des Moines,IA,Other,2020,85612.62139019994
Adm Quincy,Quincy,IL,Other,2018,111568.77324899996
Adm Quincy,Quincy,IL,Other,2019,102456.9779
Adm Quincy,Quincy,IL,Other,2020,102919.7201482
Adm Southern Cellulose Prod.In,Chattanooga,TN,Pulp And Paper,2018,31465.25636
Adm Southern Cellulose Prod.In,Chattanooga,TN,Pulp And Paper,2019,33544.607999999986
Adm Southern Cellulose Prod.In,Chattanooga,TN,Pulp And Paper,2020,32024.709689999996
Adm Soybean Processing - Des Moines,Des Moines,IA,Other,2018,151831.23436
Adm Soybean Processing - Des Moines,Des Moines,IA,Other,2019,149333.74722000002
Adm Soybean Processing - Des Moines,Des Moines,IA,Other,2020,150885.32091900005
Adm Valdosta,Valdosta,GA,Other,2018,43281.54738000002
Adm Valdosta,Valdosta,GA,Other,2019,42604.78101000003
Adm Valdosta,Valdosta,GA,Other,2020,43205.213140000014
Adrian Landfill,Adrian,MI,Waste,2018,8348.551274299996
Adrian Landfill,Adrian,MI,Waste,2019,8750.167199999998
Adrian Landfill,Adrian,MI,Waste,2020,8616.578298079998
Ads-Cedar Hill Landfill,Ragland,AL,Waste,2018,76870.9405397
Ads-Cedar Hill Landfill,Ragland,AL,Waste,2019,75579.6505
Ads-Cedar Hill Landfill,Ragland,AL,Waste,2020,74857.5789886
Ads-Pecan Row-Evergreen Landfills,Valdosta,GA,Waste,2018,194009.161602
Ads-Pecan Row-Evergreen Landfills,Valdosta,GA,Waste,2019,181768.01164000007
Ads-Pecan Row-Evergreen Landfills,Valdosta,GA,Waste,2020,181138.33649999986
Ads-Star Ridge Landfill,Moody,AL,Waste,2018,112436.17601599997
Ads-Star Ridge Landfill,Moody,AL,Waste,2019,102789.41826
Ads-Star Ridge Landfill,Moody,AL,Waste,2020,95451.82885999998
Ads/Mclean County Landfill,Bloomington,IL,Waste,2018,24232.553220000005
Ads/Mclean County Landfill,Bloomington,IL,Waste,2019,24354.43082000001
Ads/Mclean County Landfill,Bloomington,IL,Waste,2020,25992.223180000008
Advanced Disposal Cranberry Creek Landfill Llc,Wisconsin Rapids,WI,Waste,2018,21071.401739999998
Advanced Disposal Cranberry Creek Landfill Llc,Wisconsin Rapids,WI,Waste,2019,20348.58128
Advanced Disposal Cranberry Creek Landfill Llc,Wisconsin Rapids,WI,Waste,2020,18670.22071999999
Advanced Disposal Emerald Park Landfill Llc,Muskego,WI,Waste,2018,62468.12295219997
Advanced Disposal Emerald Park Landfill Llc,Muskego,WI,Waste,2019,61966.1468348
Advanced Disposal Emerald Park Landfill Llc,Muskego,WI,Waste,2020,62467.801448099985
Advanced Disposal Glacier Ridge Landfill Llc,Horicon,WI,Waste,2018,54287.650020200024
Advanced Disposal Glacier Ridge Landfill Llc,Horicon,WI,Waste,2019,57343.04836879999
Advanced Disposal Glacier Ridge Landfill Llc,Horicon,WI,Waste,2020,54168.94729370001
"Advanced Disposal Hickory Meadows Landfill, Llc",Hilbert,WI,Waste,2018,144127.6571594
"Advanced Disposal Hickory Meadows Landfill, Llc",Hilbert,WI,Waste,2019,127909.60376000007
"Advanced Disposal Hickory Meadows Landfill, Llc",Hilbert,WI,Waste,2020,133963.14789249998
"Advanced Disposal Mallard Ridge Landfill, Inc",Delevan,WI,Waste,2018,78698.791521
"Advanced Disposal Mallard Ridge Landfill, Inc",Delevan,WI,Waste,2019,76476.725852
"Advanced Disposal Mallard Ridge Landfill, Inc",Delevan,WI,Waste,2020,80193.24003500001
"Advanced Disposal Maple Hill Landfill, Llc",Macon,MO,Waste,2018,30911.594939999995
"Advanced Disposal Maple Hill Landfill, Llc",Macon,MO,Waste,2019,32587.64023429999
"Advanced Disposal Maple Hill Landfill, Llc",Macon,MO,Waste,2020,31690.01461700001
Advanced Disposal Oak Ridge Landfill,Balwin,MO,Waste,2018,6255.5039000000015
Advanced Disposal Oak Ridge Landfill,Balwin,MO,Waste,2019,5975.63856
Advanced Disposal Oak Ridge Landfill,Balwin,MO,Waste,2020,6825.313439999998
Advanced Disposal Orchard Hills Landfill Inc,Davis Junction,IL,Waste,2018,116103.89906200003
Advanced Disposal Orchard Hills Landfill Inc,Davis Junction,IL,Waste,2019,106721.48356000002
Advanced Disposal Orchard Hills Landfill Inc,Davis Junction,IL,Waste,2020,97048.60916
Advanced Disposal Rolling Hills Landfill Inc,Buffalo,MN,Waste,2018,7904.270877489996
Advanced Disposal Rolling Hills Landfill Inc,Buffalo,MN,Waste,2019,7990.287812489999
Advanced Disposal Rolling Hills Landfill Inc,Buffalo,MN,Waste,2020,8325.121640970001
Advanced Disposal Seven Mile Creek Landfill Llc,Eau Claire,WI,Waste,2018,48359.83248680001
Advanced Disposal Seven Mile Creek Landfill Llc,Eau Claire,WI,Waste,2019,44440.600158999994
Advanced Disposal Seven Mile Creek Landfill Llc,Eau Claire,WI,Waste,2020,44577.036351999996
Advanced Disposal Valley View Landfill Inc,Decatur,IL,Waste,2018,47584.33868
Advanced Disposal Valley View Landfill Inc,Decatur,IL,Waste,2019,47351.05408
Advanced Disposal Valley View Landfill Inc,Decatur,IL,Waste,2020,48101.78870000001
Advanced Disposal Zion Landfill,Zion,IL,Waste,2018,60134.47716580001
Advanced Disposal Zion Landfill,Zion,IL,Waste,2019,55583.845239999995
Advanced Disposal Zion Landfill,Zion,IL,Waste,2020,55483.83434800002
Advanced Graphite Materials Llc,Anmoore,WV,Other,2018,24384.72156000002
Advanced Graphite Materials Llc,Anmoore,WV,Other,2019,24672.99142000001
Advanced Graphite Materials Llc,Anmoore,WV,Other,2020,24458.960819999993
Advanced Magnesium Alloys Corporation,Anderson,IN,Metals,2018,172466.40575999997
Advanced Magnesium Alloys Corporation,Anderson,IN,Metals,2019,168792.11437999998
Advanced Magnesium Alloys Corporation,Anderson,IN,Metals,2020,135252.79496000003
"Advanced Tri-Gen Power Systems, Llc",Chillicothe,IL,Power Plants,2018,153465.98339699997
"Advanced Tri-Gen Power Systems, Llc",Chillicothe,IL,Power Plants,2019,157443.32228
"Advanced Tri-Gen Power Systems, Llc",Chillicothe,IL,Power Plants,2020,172201.66774900004
Advansix Inc - Chesterfield Plant,Chester,VA,Other,2018,50611.0329744
Advansix Inc - Chesterfield Plant,Chester,VA,Other,2019,51223.6215
Advansix Inc - Chesterfield Plant,Chester,VA,Other,2020,48347.25659430003
Advansix Incorporated - Hopewell,Hopewell,VA,"Chemicals,Suppliers Of Co2",2018,1057567.7421
Advansix Incorporated - Hopewell,Hopewell,VA,"Chemicals,Suppliers Of Co2",2019,1100479.45466
Advansix Incorporated - Hopewell,Hopewell,VA,"Chemicals,Suppliers Of Co2",2020,1034876.1256410002
Advansix Resins & Chemicals Llc,Philadelphia,PA,Chemicals,2018,154354.95563000004
Advansix Resins & Chemicals Llc,Philadelphia,PA,Chemicals,2019,152938.87117999996
Advansix Resins & Chemicals Llc,Philadelphia,PA,Chemicals,2020,156947.83104000005
"Aemetis Advanced Fuels Keyes, Inc.",Ceres,CA,Other,2018,72081.97188
"Aemetis Advanced Fuels Keyes, Inc.",Ceres,CA,Other,2019,72392.51189400001
"Aemetis Advanced Fuels Keyes, Inc.",Ceres,CA,Other,2020,71204.88367279996
Aera Energy 25 Hill,Maricopa,CA,Petroleum And Natural Gas Systems,2018,172978.55271999992
Aera Energy 25 Hill,Maricopa,CA,Petroleum And Natural Gas Systems,2019,171214.31041800007
Aera Energy 25 Hill,Maricopa,CA,Petroleum And Natural Gas Systems,2020,161103.85244000002
Aera Energy Alberta Finley Shale,Fellows,CA,Petroleum And Natural Gas Systems,2018,92773.98788820003
Aera Energy Alberta Finley Shale,Fellows,CA,Petroleum And Natural Gas Systems,2019,93308.26971800001
Aera Energy Alberta Finley Shale,Fellows,CA,Petroleum And Natural Gas Systems,2020,88927.97877000002
Aera Energy Anderson Fitzgerald,Mckittrick,CA,Petroleum And Natural Gas Systems,2018,94181.777756
Aera Energy Anderson Fitzgerald,Mckittrick,CA,Petroleum And Natural Gas Systems,2019,96457.27631999998
Aera Energy Anderson Fitzgerald,Mckittrick,CA,Petroleum And Natural Gas Systems,2020,89937.63652000003
Aera Energy Belridge,Mckittrick,CA,"Natural Gas And Natural Gas Liquids Suppliers,Petroleum And Natural Gas Systems",2018,1540983.4191799993
Aera Energy Belridge,Mckittrick,CA,"Natural Gas And Natural Gas Liquids Suppliers,Petroleum And Natural Gas Systems",2019,1573568.2684599995
Aera Energy Belridge,Mckittrick,CA,"Natural Gas And Natural Gas Liquids Suppliers,Petroleum And Natural Gas Systems",2020,1605775.8739500002
Aera Energy Buena Fe,Maricopa,CA,Petroleum And Natural Gas Systems,2018,24849.75446
Aera Energy Buena Fe,Maricopa,CA,Petroleum And Natural Gas Systems,2019,20979.00850000001
Aera Energy Buena Fe,Maricopa,CA,Petroleum And Natural Gas Systems,2020,23419.60682
Aera Energy Calso,Mckittrick,CA,Petroleum And Natural Gas Systems,2018,20791.09156
Aera Energy Calso,Mckittrick,CA,Petroleum And Natural Gas Systems,2019,21019.320239999997
Aera Energy Calso,Mckittrick,CA,Petroleum And Natural Gas Systems,2020,24566.177220000016
Aera Energy Coalinga,Coalinga,CA,Petroleum And Natural Gas Systems,2018,233358.566
Aera Energy Coalinga,Coalinga,CA,Petroleum And Natural Gas Systems,2019,223421.03049000003
Aera Energy Coalinga,Coalinga,CA,Petroleum And Natural Gas Systems,2020,237444.66346000013
Aera Energy Lockwood,Maricopa,CA,Petroleum And Natural Gas Systems,2018,22219.08582
Aera Energy Lockwood,Maricopa,CA,Petroleum And Natural Gas Systems,2019,20873.220447899992
Aera Energy Lockwood,Maricopa,CA,Petroleum And Natural Gas Systems,2020,785679.0083999999
Aera Energy Lost Hills,Mckittrick,CA,Petroleum And Natural Gas Systems,2018,137856.25025999997
Aera Energy Lost Hills,Mckittrick,CA,Petroleum And Natural Gas Systems,2019,119280.88626600004
Aera Energy Lost Hills,Mckittrick,CA,Petroleum And Natural Gas Systems,2020,119426.97212299997
Aera Energy Metson,Maricopa,CA,Petroleum And Natural Gas Systems,2018,41926.445720000025
Aera Energy Metson,Maricopa,CA,Petroleum And Natural Gas Systems,2019,43033.81992000001
Aera Energy Metson,Maricopa,CA,Petroleum And Natural Gas Systems,2020,42053.708889999994
Aera Energy Moco,Maricopa,CA,Petroleum And Natural Gas Systems,2018,314071.7598219999
Aera Energy Moco,Maricopa,CA,Petroleum And Natural Gas Systems,2019,321659.50312199997
Aera Energy Moco,Maricopa,CA,Petroleum And Natural Gas Systems,2020,298517.03012
Aera Energy Penn Zier,Coalinga,CA,Petroleum And Natural Gas Systems,2018,73938.76558
